🐼丨熊猫频道,#genre#
CCTV8,http://223.151.51.74:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://175.10.228.184:9998/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://222.241.154.37:9901/tsfile/live/23008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://223.159.10.203:8099/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://124.228.160.94:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9高清,http://113.240.139.144:8082/hls/10/index.m3u8
CCTV-9记录,http://222.89.16.225:808/hls/9/index.m3u8
CCTV9,http://223.151.51.74:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://175.10.228.184:9998/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://222.241.154.37:9901/tsfile/live/23009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://223.159.10.203:8099/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://124.228.160.94:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10高清,http://113.240.139.144:8082/hls/11/index.m3u8
CCTV-10科教,http://222.89.16.225:808/hls/10/index.m3u8
CCTV10-科教 高清,http://219.159.194.120:8181/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://124.228.160.94:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11高清,http://113.240.139.144:8082/hls/12/index.m3u8
CCTV-11高清,http://117.44.1.97:20000/hls/20/index.m3u8
CCTV-11戏曲,http://222.89.16.225:808/hls/11/index.m3u8
CCTV12高清,http://113.240.139.144:8082/hls/13/index.m3u8
CCTV-12社会与法,http://222.89.16.225:808/hls/12/index.m3u8
CCTV12-社会与法 高清,http://219.159.194.120:8181/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13高清,http://113.240.139.144:8082/hls/14/index.m3u8
CCTV-13高清,http://117.44.1.97:20000/hls/19/index.m3u8
CCTV-13新闻,http://222.89.16.225:808/hls/13/index.m3u8
CCTV14高清,http://113.240.139.144:8082/hls/15/index.m3u8
CCTV-14少儿 ,http://222.89.16.225:808/hls/14/index.m3u8
CCTV14-少儿 高清,http://219.159.194.120:8181/tsfile/live/0014_1.m3u8?key=txiptv
CCTV少儿,http://223.151.51.74:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15高清,http://113.240.139.144:8082/hls/16/index.m3u8
CCTV5+高清,http://113.240.139.144:8082/hls/6/index.m3u8
CCTV-15高清,http://117.44.1.97:20000/hls/17/index.m3u8
CCTV-15音乐,http://222.89.16.225:808/hls/15/index.m3u8
CCTV-17农业农村,http://222.89.16.225:808/hls/17/index.m3u8
CCTV17,http://223.151.51.74:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://222.241.154.37:9901/tsfile/live/23017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://124.228.160.94:9901/tsfile/live/0019_2.m3u8?key=txiptv&playlive=1&authid=0
CNTV,http://222.89.16.225:808/hls/16/index.m3u8
CCTVNEWS,http://117.44.1.97:20000/hls/41/index.m3u8
央视文化精品,http://117.44.1.97:20000/hls/45/index.m3u8
央视文化精品高清频道,http://117.44.1.97:20000/hls/74/index.m3u8
CCTV发现之旅,http://117.44.1.97:20000/hls/65/index.m3u8
CCTV中学生,http://220.173.25.0:4022/udp/239.81.0.87:4056
CETV1,http://220.173.25.0:4022/udp/239.81.0.92:4056
CETV1,http://220.173.25.0:4022/udp/239.81.0.52:4056
CETV2,http://220.173.25.0:4022/udp/239.81.0.245:4056
CETV4,http://220.173.25.0:4022/udp/239.81.0.246:4056
CCTV4K,http://220.173.25.0:4022/udp/239.81.0.69:4056
CCTV4K,http://220.173.25.0:4022/udp/239.81.0.71:4056

🌍丨北京频道,#genre#
北京卫视,http://113.240.139.144:8082/hls/23/index.m3u8
北京卫视,http://222.89.16.225:808/hls/64/index.m3u8
北京卫视,http://117.44.1.97:20000/hls/84/index.m3u8
北京卫视高清,http://117.44.1.97:20000/hls/13/index.m3u8
北京卫视 高清,http://219.159.194.120:8181/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://223.151.51.74:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://222.241.154.37:9901/tsfile/live/23030_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://124.228.160.94:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://223.159.11.138:8099/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
卡酷动画,http://222.89.16.225:808/hls/93/index.m3u8
北京卡酷,http://117.44.1.97:20000/hls/73/index.m3u8

🌍丨上海频道,#genre#
东方卫视,http://113.240.139.144:8082/hls/25/index.m3u8
东方卫视,http://222.89.16.225:808/hls/62/index.m3u8
东方卫视,http://117.44.1.97:20000/hls/83/index.m3u8
东方财经,http://117.44.1.97:20000/hls/30/index.m3u8
上海卫视,http://223.151.51.74:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://222.241.154.37:9901/tsfile/live/23033_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://124.228.160.94:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://223.159.11.138:8099/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
炫动卡通,http://222.89.16.225:808/hls/94/index.m3u8

🌍丨浙江频道,#genre#
浙江卫视,http://113.240.139.144:8082/hls/22/index.m3u8
浙江卫视,http://222.89.16.225:808/hls/61/index.m3u8
浙江卫视高清,http://117.44.1.97:20000/hls/16/index.m3u8
浙江卫视,http://117.44.1.97:20000/hls/93/index.m3u8
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8
青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
松阳综合频道,http://l.cztvcloud.com/channels/lantian/SXsongyang1/720p.m3u8
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
龙泉新闻综合,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
苏州4K频道,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
青田电视台,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
余姚新闻综合,https://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
余姚姚江文化,https://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8
衢江新闻综合,http://l.cztvcloud.com/channels/lantian/SXqujiang1/720p.m3u8
之江记录,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江钱江,http://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影院,http://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,http://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,http://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江国际,http://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8

🌍丨江苏频道,#genre#
江苏卫视,http://113.240.139.144:8082/hls/21/index.m3u8
江苏卫视,http://222.89.16.225:808/hls/63/index.m3u8
江苏卫视高清,http://117.44.1.97:20000/hls/15/index.m3u8

🌍丨福建频道,#genre#
东南卫视,http://113.240.139.144:8082/hls/30/index.m3u8
东南卫视,http://222.89.16.225:808/hls/83/index.m3u8
东南卫视,http://117.44.1.97:20000/hls/86/index.m3u8
东南卫视 高清,http://219.159.194.120:8181/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://222.241.154.37:9901/tsfile/live/23037_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://124.228.160.94:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://223.159.11.138:8099/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
厦门卫视,http://220.173.25.0:4022/udp/239.81.0.212:4056
福建综合,http://120.41.124.228:8888/rtp/239.61.3.4:9542
东南卫视,http://120.41.124.228:8888/rtp/239.61.2.132:8708
福建公共频道,http://120.41.124.228:8888/rtp/239.61.2.3:8012
福建新闻,http://120.41.124.228:8888/rtp/239.61.2.4:8018
福建电视剧,http://120.41.124.228:8888/rtp/239.61.2.5:8024
福建旅游,http://120.41.124.228:8888/rtp/239.61.2.6:8030
福建经济生活,http://120.41.124.228:8888/rtp/239.61.2.7:8036
福建体育,http://120.41.124.228:8888/rtp/239.61.2.160:8948
福建少儿,http://120.41.124.228:8888/rtp/239.61.2.9:8048
海峡卫视,http://120.41.124.228:8888/rtp/239.61.2.151:8894
福建教育频道,http://120.41.124.228:8888/rtp/239.61.2.173:9026
厦门卫视,http://120.41.124.228:8888/rtp/239.61.2.11:8060
厦门1套,http://120.41.124.228:8888/rtp/239.61.3.55:9848
厦门2套,http://120.41.124.228:8888/rtp/239.61.3.56:9854

🌍丨云南频道,#genre#
云南卫视,http://113.240.139.144:8082/hls/36/index.m3u8
云南卫视,http://222.89.16.225:808/hls/79/index.m3u8
云南卫视,http://222.241.154.37:9901/tsfile/live/23043_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://124.228.160.94:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://223.159.11.138:8099/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0

🌍丨黑龙江频道,#genre#
黑龙江卫视,http://113.240.139.144:8082/hls/38/index.m3u8
黑龙江卫视,http://222.89.16.225:808/hls/66/index.m3u8

🌍丨吉林频道,#genre#
吉林卫视,http://113.240.139.144:8082/hls/41/index.m3u8
吉林卫视,http://222.89.16.225:808/hls/81/index.m3u8
吉林卫视,http://117.44.1.97:20000/hls/78/index.m3u8
吉林卫视,http://124.228.160.94:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://223.159.11.138:8099/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0

🌍丨四川频道,#genre#
四川卫视,http://222.89.16.225:808/hls/76/index.m3u8
四川卫视,http://117.44.1.97:20000/hls/90/index.m3u8
四川卫视 高清,http://219.159.194.120:8181/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://222.241.154.37:9901/tsfile/live/23041_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://124.228.160.94:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://223.159.11.138:8099/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0

🌍丨山东频道,#genre#
山东卫视,http://113.240.139.144:8082/hls/34/index.m3u8
山东卫视,http://222.89.16.225:808/hls/67/index.m3u8
山东卫视 高清,http://219.159.194.120:8181/tsfile/live/0131_1.m3u8?key=txiptv
山东教育卫视,http://220.173.25.0:4022/udp/239.81.0.93:4056

🌍丨江西频道,#genre#
江西卫视,http://113.240.139.144:8082/hls/27/index.m3u8
江西卫视,http://222.89.16.225:808/hls/73/index.m3u8
江西卫视 高清,http://219.159.194.120:8181/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视高清,http://117.44.1.97:20000/hls/3/index.m3u8
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
余姚新闻综合,https://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
余姚姚江文化,https://l.cztvcloud.com/channels/lantian/SXyuyao2/720p.m3u8

🌍丨贵州频道,#genre#
贵州卫视,http://113.240.139.144:8082/hls/39/index.m3u8
贵州卫视 高清,http://219.159.194.120:8181/tsfile/live/0120_1.m3u8?key=txiptv

🌍丨湖南频道,#genre#
湖南卫视,http://113.240.139.144:8082/hls/17/index.m3u8
湖南卫视,http://222.89.16.225:808/hls/74/index.m3u8
湖南卫视,http://117.44.1.97:20000/hls/91/index.m3u8
湖南卫视高清,http://117.44.1.97:20000/hls/14/index.m3u8
湖南卫视 高清,http://219.159.194.120:8181/tsfile/live/0128_1.m3u8?key=txiptv
湖南电影高清,http://113.240.139.144:8082/hls/18/index.m3u8
湖南公共高清,http://113.240.139.144:8082/hls/19/index.m3u8
湖南娱乐高清,http://113.240.139.144:8082/hls/20/index.m3u8
金鹰纪实 高清,http://219.159.194.120:8181/tsfile/live/1016_1.m3u8?key=txiptv
金鹰卡通,http://222.89.16.225:808/hls/91/index.m3u8
金鹰卡通,http://117.44.1.97:20000/hls/77/index.m3u8
常德新闻综合,http://223.151.51.74:9901/tsfile/live/1018_1.m3u8?key=txiptv
汉寿综合,http://223.151.51.74:9901/tsfile/live/1019_1.m3u8?key=txiptv

🌍丨广东频道,#genre#
广东卫视,http://113.240.139.144:8082/hls/24/index.m3u8
广东卫视,http://222.89.16.225:808/hls/65/index.m3u8
广东卫视高清,http://117.44.1.97:20000/hls/10/index.m3u8
广东卫视,http://117.44.1.97:20000/hls/94/index.m3u8
深圳卫视,http://113.240.139.144:8082/hls/28/index.m3u8
深圳卫视,http://222.89.16.225:808/hls/75/index.m3u8
深圳卫视,http://117.44.1.97:20000/hls/96/index.m3u8
珠江台 高清,http://219.159.194.120:8181/tsfile/live/1000_1.m3u8?key=txiptv
广东体育 高清,http://219.159.194.120:8181/tsfile/live/1001_1.m3u8?key=txiptv
广东公共 高清,http://219.159.194.120:8181/tsfile/live/1002_1.m3u8?key=txiptv
广东科教 高清,http://219.159.194.120:8181/tsfile/live/1003_1.m3u8?key=txiptv
广东影视 高清,http://219.159.194.120:8181/tsfile/live/1004_1.m3u8?key=txiptv
广东少儿 高清,http://219.159.194.120:8181/tsfile/live/1005_1.m3u8?key=txiptv
岭南戏剧 高清,http://219.159.194.120:8181/tsfile/live/1006_1.m3u8?key=txiptv
广东新闻 高清,http://219.159.194.120:8181/tsfile/live/1007_1.m3u8?key=txiptv
嘉佳卡通,http://222.89.16.225:808/hls/92/index.m3u8
汕头小公园,https://gctxyc.liveplay.myqcloud.com/gc/bsszjs_1/index.m3u8?contentid=2820180516001
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1617289309-0-0-7b2730980c8860963374597c20ad3935?zguangd
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1612881417-0-0-bc7ddba066481bc805fc1e800654e721?zguangd
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8
潮州综合,http://mywlkj.ddns.net:754/tv/28.php?id=28013
潮州综合,http://time-vod-qhlive.sobeylive.com/czbtv2019/czzhpd.m3u8
潮州民生,http://mywlkj.ddns.net:754/tv/28.php?id=28014
潮州民生,http://time-vod-qhlive.sobeylive.com/czbtv2019/czggpd.m3u8

潮安综合,http://php.jdshipin.com:8880/chudian.php?id=cazh
潮州综合,http://time-vod-qhlive.sobeylive.com/czbtv2019/czzhpd.m3u8
潮州综合,http://120.84.121.250:808/hls/20/index.m3u8
潮州综合,http://211.97.63.3:801/hls/503/index.m3u8
潮州民生,http://time-vod-qhlive.sobeylive.com/czbtv2019/czggpd.m3u8

广东体育,http://php.jdshipin.com:8880/chudian.php?id=gdty
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广州影视,http://php.jdshipin.com:8880/gztv.php?id=yingshi
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
番禺电视台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
龙岗,http://liveplay.sznews.com/66_showto_live/2647.m3u8
东莞新闻综合,http://php.jdshipin.com:8880/0769.php?id=xwzh
东莞生活资讯,http://php.jdshipin.com:8880/0769.php?id=shzx
佛山综合,http://php.jdshipin.com:8880/fstv.php?id=fszh
佛山影视,http://php.jdshipin.com:8880/fstv.php?id=fsys
佛山公共,http://php.jdshipin.com:8880/fstv.php?id=fsgg
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
云浮综合,https://livestream.oeeee.com/slive/17806.m3u8
云浮文旅,https://livestream.oeeee.com/slive/17807.m3u8
广东移动,http://php.jdshipin.com:8880/chudian.php?id=gdyd
梅州综合,http://mywlkj.ddns.net:754/tv/28.php?id=28015
梅州生活,http://mywlkj.ddns.net:754/tv/28.php?id=28016
河源综合,http://php.jdshipin.com:8880/chudian.php?id=hyzh
河源公共,http://php.jdshipin.com:8880/chudian.php?id=hygg
连平台,http://php.jdshipin.com:8880/chudian.php?id=lpzh
惠东综合,http://php.jdshipin.com:8880/chudian.php?id=hdzh
开平综合,http://php.jdshipin.com:8880/chudian.php?id=kpzh
开平生活,http://php.jdshipin.com:8880/chudian.php?id=kpsh
四会新闻综合,http://php.jdshipin.com:8880/chudian.php?id=shzh
广宁综合,http://php.jdshipin.com:8880/chudian.php?id=gnzh
工布江达县广播电视台,http://php.jdshipin.com:8880/chudian.php?id=gbjd
化州综合,http://php.jdshipin.com:8880/chudian.php?id=hzzh
鹤山综合,http://php.jdshipin.com:8880/chudian.php?id=hszh
廉江综合,http://php.jdshipin.com:8880/chudian.php?id=ljzh
英德新闻综合,http://php.jdshipin.com:8880/chudian.php?id=ydxw
清新综合,http://mywlkj.ddns.net:754/tv/touchtv.php?pk=2448
清新综合,http://php.jdshipin.com:8880/chudian.php?id=qxzh
紫金综合,http://php.jdshipin.com:8880/chudian.php?id=zjzh
连州综合,http://php.jdshipin.com:8880/chudian.php?id=lzzh
阳春综合,http://php.jdshipin.com:8880/chudian.php?id=yczh
佛冈综合,http://mywlkj.ddns.net:754/tv/touchtv.php?pk=2460
佛冈综合,http://php.jdshipin.com:8880/chudian.php?id=fgzh
怀集综合,http://php.jdshipin.com:8880/chudian.php?id=hjzh
惠阳电视台,http://php.jdshipin.com:8880/chudian.php?id=hytv
信宜综合,http://php.jdshipin.com:8880/chudian.php?id=xyzh
徐闻综合,http://113.78.253.125:8888/udp/239.253.43.112:5146
徐闻综合,http://php.jdshipin.com:8880/chudian.php?id=xwzh
阳西综合,http://php.jdshipin.com:8880/chudian.php?id=yxzh
台山台,http://php.jdshipin.com:8880/chudian.php?id=tstv
遂溪台,http://php.jdshipin.com:8880/chudian.php?id=sxtv
新会综合,http://php.jdshipin.com:8880/chudian.php?id=xhzh
罗定综合,http://php.jdshipin.com:8880/chudian.php?id=ldzh
和平综合,http://php.jdshipin.com:8880/chudian.php?id=hpzh
东源台,http://php.jdshipin.com:8880/chudian.php?id=dytv
吴川综合,http://php.jdshipin.com:8880/chudian.php?id=wczh
乐昌电视台,http://php.jdshipin.com:8880/chudian.php?id=lctv
恩平综合,http://php.jdshipin.com:8880/chudian.php?id=epzh
汕头文旅体育,http://27.41.250.191:801/hls/80/index.m3u8
汕头综合,http://27.41.250.191:801/hls/81/index.m3u8
汕头经济生活,http://27.41.250.191:801/hls/82/index.m3u8
深圳都市,http://61.141.202.118:9901/tsfile/live/0126_2.m3u8?key=tvbox6_com&playlive=0&authid=0
